distance,model,algorithm,n,mean,count,word_proportion
Cosine,get_bert_solver,MeanIndividualDistance,0,3.9863945578231297,15,0.0
Cosine,get_bert_solver,MeanIndividualDistance,1,0.8547574874105486,77,0.16666666666666666
Cosine,get_bert_solver,MeanIndividualDistance,2,0.846938775510204,22,0.3333333333333333
Cosine,get_bert_solver,MeanIndividualDistance,3,0.7834467120181405,36,0.5
Cosine,get_bert_solver,MeanIndividualDistance,4,0.7508503401360543,24,0.6666666666666666
Cosine,get_bert_solver,MeanIndividualDistance,5,0.7331240188383046,52,0.8333333333333334
Cosine,get_bert_solver,MeanIndividualDistance,6,0.341488699979266,689,1.0
Cosine,get_bert_solver,SummedNearestNeighbour,0,3.7933673469387754,16,0.0
Cosine,get_bert_solver,SummedNearestNeighbour,1,0.8775510204081632,20,0.16666666666666666
Cosine,get_bert_solver,SummedNearestNeighbour,2,0.8466629895201323,37,0.3333333333333333
Cosine,get_bert_solver,SummedNearestNeighbour,3,0.8503401360544217,3,0.5
Cosine,get_bert_solver,SummedNearestNeighbour,4,0.7755102040816326,59,0.6666666666666666
Cosine,get_bert_solver,SummedNearestNeighbour,5,0.7191659272404614,46,0.8333333333333334
Cosine,get_bert_solver,SummedNearestNeighbour,6,0.3578421578421578,715,1.0
Cosine,get_glove_solver,MeanIndividualDistance,0,2.312705727452271,31,0.0
Cosine,get_glove_solver,MeanIndividualDistance,1,0.4734279498601471,197,0.16666666666666666
Cosine,get_glove_solver,MeanIndividualDistance,2,0.32440106477373554,115,0.3333333333333333
Cosine,get_glove_solver,MeanIndividualDistance,3,0.2346938775510204,54,0.5
Cosine,get_glove_solver,MeanIndividualDistance,4,0.1510204081632653,60,0.6666666666666666
Cosine,get_glove_solver,MeanIndividualDistance,5,0.0980017006802721,96,0.8333333333333334
Cosine,get_glove_solver,MeanIndividualDistance,6,0.07600281491907107,58,1.0
Cosine,get_glove_solver,SummedNearestNeighbour,0,2.2582908163265305,32,0.0
Cosine,get_glove_solver,SummedNearestNeighbour,1,0.4462771409933836,219,0.16666666666666666
Cosine,get_glove_solver,SummedNearestNeighbour,2,0.3058266784974859,69,0.3333333333333333
Cosine,get_glove_solver,SummedNearestNeighbour,3,0.23871366728509583,66,0.5
Cosine,get_glove_solver,SummedNearestNeighbour,4,0.1878597592883307,39,0.6666666666666666
Cosine,get_glove_solver,SummedNearestNeighbour,5,0.10470275066548358,69,0.8333333333333334
Cosine,get_glove_solver,SummedNearestNeighbour,6,0.05664306538942107,98,1.0
Cosine,get_postspec_solver,MeanIndividualDistance,0,2.71265306122449,25,0.0
Cosine,get_postspec_solver,MeanIndividualDistance,1,0.4778109356950327,424,0.16666666666666666
Cosine,get_postspec_solver,MeanIndividualDistance,2,0.24328678839957033,114,0.3333333333333333
Cosine,get_postspec_solver,MeanIndividualDistance,3,0.14661654135338345,38,0.5
Cosine,get_postspec_solver,MeanIndividualDistance,4,0.07424349049964812,58,0.6666666666666666
Cosine,get_postspec_solver,MeanIndividualDistance,5,0.05489092188599578,58,0.8333333333333334
Cosine,get_postspec_solver,MeanIndividualDistance,6,0.03571428571428571,8,1.0
Cosine,get_postspec_solver,SummedNearestNeighbour,0,2.796768707482993,24,0.0
Cosine,get_postspec_solver,SummedNearestNeighbour,1,0.4992074499702793,412,0.16666666666666666
Cosine,get_postspec_solver,SummedNearestNeighbour,2,0.30312124849939975,102,0.3333333333333333
Cosine,get_postspec_solver,SummedNearestNeighbour,3,0.13169642857142855,64,0.5
Cosine,get_postspec_solver,SummedNearestNeighbour,4,0.09989258861439312,76,0.6666666666666666
Cosine,get_postspec_solver,SummedNearestNeighbour,5,0.078552175587216,53,0.8333333333333334
Cosine,get_postspec_solver,SummedNearestNeighbour,6,0.05965463108320251,13,1.0
Cosine,get_wordnet_solver,MeanIndividualDistance,0,2.4956268221574343,28,0.0
Cosine,get_wordnet_solver,MeanIndividualDistance,1,0.5025605747917143,267,0.16666666666666666
Cosine,get_wordnet_solver,MeanIndividualDistance,2,0.33566058002148225,76,0.3333333333333333
Cosine,get_wordnet_solver,MeanIndividualDistance,3,0.2629642020742723,61,0.5
Cosine,get_wordnet_solver,MeanIndividualDistance,4,0.1608357628765792,42,0.6666666666666666
Cosine,get_wordnet_solver,MeanIndividualDistance,5,0.1270350836963999,89,0.8333333333333334
Cosine,get_wordnet_solver,MeanIndividualDistance,6,0.0824101068999028,105,1.0
Cosine,get_wordnet_solver,SummedNearestNeighbour,0,2.4306826178747363,29,0.0
Cosine,get_wordnet_solver,SummedNearestNeighbour,1,0.49326784655771017,241,0.16666666666666666
Cosine,get_wordnet_solver,SummedNearestNeighbour,2,0.3574045002616431,78,0.3333333333333333
Cosine,get_wordnet_solver,SummedNearestNeighbour,3,0.2482073910645339,37,0.5
Cosine,get_wordnet_solver,SummedNearestNeighbour,4,0.211118930330753,58,0.6666666666666666
Cosine,get_wordnet_solver,SummedNearestNeighbour,5,0.12791545189504372,112,0.8333333333333334
Cosine,get_wordnet_solver,SummedNearestNeighbour,6,0.08184976118106817,94,1.0
DotProduct,get_bert_solver,MeanIndividualDistance,6,1.3333333333333333,1200,1.0
DotProduct,get_bert_solver,SummedNearestNeighbour,6,1.3333333333333333,1200,1.0
DotProduct,get_glove_solver,MeanIndividualDistance,3,8.64516129032258,31,0.5
DotProduct,get_glove_solver,MeanIndividualDistance,4,5.688128772635815,71,0.6666666666666666
DotProduct,get_glove_solver,MeanIndividualDistance,5,1.1329081632653062,320,0.8333333333333334
DotProduct,get_glove_solver,MeanIndividualDistance,6,0.72700802686113,778,1.0
DotProduct,get_glove_solver,SummedNearestNeighbour,3,9.548387096774194,31,0.5
DotProduct,get_glove_solver,SummedNearestNeighbour,4,4.340136054421769,42,0.6666666666666666
DotProduct,get_glove_solver,SummedNearestNeighbour,5,1.6659883894906935,341,0.8333333333333334
DotProduct,get_glove_solver,SummedNearestNeighbour,6,0.7043412784961313,786,1.0
DotProduct,get_postspec_solver,MeanIndividualDistance,0,2.885536823425022,23,0.0
