distance,model,algorithm,strategy,threshold
Cosine,bert,MeanIndividualDistance,risky,0.3
Cosine,bert,SummedNearestNeighbour,risky,0.4
Cosine,glove,MeanIndividualDistance,risky,0.1
Cosine,glove,SummedNearestNeighbour,risky,0.1
Cosine,postspec,MeanIndividualDistance,risky,0.0
Cosine,postspec,SummedNearestNeighbour,risky,0.1
Cosine,wordnet,MeanIndividualDistance,risky,0.1
Cosine,wordnet,SummedNearestNeighbour,risky,0.1
DotProduct,bert,MeanIndividualDistance,risky,1.3
DotProduct,bert,SummedNearestNeighbour,risky,1.3
DotProduct,glove,MeanIndividualDistance,risky,0.7
DotProduct,glove,SummedNearestNeighbour,risky,0.7
DotProduct,postspec,MeanIndividualDistance,risky,0.0
DotProduct,postspec,SummedNearestNeighbour,risky,0.0
DotProduct,wordnet,MeanIndividualDistance,risky,0.6
DotProduct,wordnet,SummedNearestNeighbour,risky,0.6
Cosine,bert,MeanIndividualDistance,quite_risky,0.7
Cosine,bert,SummedNearestNeighbour,quite_risky,0.7
Cosine,glove,MeanIndividualDistance,quite_risky,0.1
Cosine,glove,SummedNearestNeighbour,quite_risky,0.1
Cosine,postspec,MeanIndividualDistance,quite_risky,0.1
Cosine,postspec,SummedNearestNeighbour,quite_risky,0.1
Cosine,wordnet,MeanIndividualDistance,quite_risky,0.1
Cosine,wordnet,SummedNearestNeighbour,quite_risky,0.2
DotProduct,bert,MeanIndividualDistance,quite_risky,1.3
DotProduct,bert,SummedNearestNeighbour,quite_risky,1.3
DotProduct,glove,MeanIndividualDistance,quite_risky,1.0
DotProduct,glove,SummedNearestNeighbour,quite_risky,1.4
DotProduct,postspec,MeanIndividualDistance,quite_risky,0.1
DotProduct,postspec,SummedNearestNeighbour,quite_risky,0.1
DotProduct,wordnet,MeanIndividualDistance,quite_risky,2.4
DotProduct,wordnet,SummedNearestNeighbour,quite_risky,3.2
Cosine,bert,MeanIndividualDistance,moderate,0.8
Cosine,bert,SummedNearestNeighbour,moderate,0.8
Cosine,glove,MeanIndividualDistance,moderate,0.2
Cosine,glove,SummedNearestNeighbour,moderate,0.2
Cosine,postspec,MeanIndividualDistance,moderate,0.1
Cosine,postspec,SummedNearestNeighbour,moderate,0.1
Cosine,wordnet,MeanIndividualDistance,moderate,0.3
Cosine,wordnet,SummedNearestNeighbour,moderate,0.2
DotProduct,bert,MeanIndividualDistance,moderate,1.3
DotProduct,bert,SummedNearestNeighbour,moderate,1.3
DotProduct,glove,MeanIndividualDistance,moderate,3.4
DotProduct,glove,SummedNearestNeighbour,moderate,3.0
DotProduct,postspec,MeanIndividualDistance,moderate,0.2
DotProduct,postspec,SummedNearestNeighbour,moderate,0.2
DotProduct,wordnet,MeanIndividualDistance,moderate,5.6
DotProduct,wordnet,SummedNearestNeighbour,moderate,6.3
Cosine,bert,MeanIndividualDistance,quite_conservative,0.9
Cosine,bert,SummedNearestNeighbour,quite_conservative,0.9
Cosine,glove,MeanIndividualDistance,quite_conservative,0.4
Cosine,glove,SummedNearestNeighbour,quite_conservative,0.4
Cosine,postspec,MeanIndividualDistance,quite_conservative,0.4
Cosine,postspec,SummedNearestNeighbour,quite_conservative,0.4
Cosine,wordnet,MeanIndividualDistance,quite_conservative,0.4
Cosine,wordnet,SummedNearestNeighbour,quite_conservative,0.4
DotProduct,bert,MeanIndividualDistance,quite_conservative,1.3
DotProduct,bert,SummedNearestNeighbour,quite_conservative,1.3
DotProduct,glove,MeanIndividualDistance,quite_conservative,6.4
DotProduct,glove,SummedNearestNeighbour,quite_conservative,5.6
DotProduct,postspec,MeanIndividualDistance,quite_conservative,0.4
DotProduct,postspec,SummedNearestNeighbour,quite_conservative,0.4
DotProduct,wordnet,MeanIndividualDistance,quite_conservative,7.4
DotProduct,wordnet,SummedNearestNeighbour,quite_conservative,7.4
Cosine,bert,MeanIndividualDistance,conservative,4.0
Cosine,bert,SummedNearestNeighbour,conservative,3.8
Cosine,glove,MeanIndividualDistance,conservative,2.3
Cosine,glove,SummedNearestNeighbour,conservative,2.3
Cosine,postspec,MeanIndividualDistance,conservative,2.7
Cosine,postspec,SummedNearestNeighbour,conservative,2.8
Cosine,wordnet,MeanIndividualDistance,conservative,2.5
Cosine,wordnet,SummedNearestNeighbour,conservative,2.4
DotProduct,bert,MeanIndividualDistance,conservative,1.3
DotProduct,bert,SummedNearestNeighbour,conservative,1.3
DotProduct,glove,MeanIndividualDistance,conservative,8.6
DotProduct,glove,SummedNearestNeighbour,conservative,9.5
DotProduct,postspec,MeanIndividualDistance,conservative,2.9
DotProduct,postspec,SummedNearestNeighbour,conservative,3.0
DotProduct,wordnet,MeanIndividualDistance,conservative,9.6
DotProduct,wordnet,SummedNearestNeighbour,conservative,9.4
